           x                  u
    0.0000000000E+00    0.2000000000E+02
    0.9900990099E-02    0.2110165637E+02
    0.1980198020E-01    0.2219341286E+02
    0.2970297030E-01    0.2327517154E+02
    0.3960396040E-01    0.2434683355E+02
    0.4950495050E-01    0.2540829900E+02
    0.5940594059E-01    0.2645946702E+02
    0.6930693069E-01    0.2750023572E+02
    0.7920792079E-01    0.2853050218E+02
    0.8910891089E-01    0.2955016245E+02
    0.9900990099E-01    0.3055911154E+02
    0.1089108911E+00    0.3155724340E+02
    0.1188118812E+00    0.3254445092E+02
    0.1287128713E+00    0.3352062590E+02
    0.1386138614E+00    0.3448565906E+02
    0.1485148515E+00    0.3543944001E+02
    0.1584158416E+00    0.3638185727E+02
    0.1683168317E+00    0.3731279821E+02
    0.1782178218E+00    0.3823214908E+02
    0.1881188119E+00    0.3913979498E+02
    0.1980198020E+00    0.4003561985E+02
    0.2079207921E+00    0.4091950646E+02
    0.2178217822E+00    0.4179133640E+02
    0.2277227723E+00    0.4265099006E+02
    0.2376237624E+00    0.4349834664E+02
    0.2475247525E+00    0.4433328409E+02
    0.2574257426E+00    0.4515567916E+02
    0.2673267327E+00    0.4596540733E+02
    0.2772277228E+00    0.4676234285E+02
    0.2871287129E+00    0.4754635868E+02
    0.2970297030E+00    0.4831732649E+02
    0.3069306931E+00    0.4907511668E+02
    0.3168316832E+00    0.4981959833E+02
    0.3267326733E+00    0.5055063919E+02
    0.3366336634E+00    0.5126810569E+02
    0.3465346535E+00    0.5197186290E+02
    0.3564356436E+00    0.5266177453E+02
    0.3663366337E+00    0.5333770292E+02
    0.3762376238E+00    0.5399950901E+02
    0.3861386139E+00    0.5464705234E+02
    0.3960396040E+00    0.5528019104E+02
    0.4059405941E+00    0.5589878181E+02
    0.4158415842E+00    0.5650267989E+02
    0.4257425743E+00    0.5709173906E+02
    0.4356435644E+00    0.5766581165E+02
    0.4455445545E+00    0.5822474846E+02
    0.4554455446E+00    0.5876839884E+02
    0.4653465347E+00    0.5929661056E+02
    0.4752475248E+00    0.5980922990E+02
    0.4851485149E+00    0.6030610157E+02
    0.4950495050E+00    0.6078706873E+02
    0.5049504950E+00    0.6125197294E+02
    0.5148514851E+00    0.6170065418E+02
    0.5247524752E+00    0.6213295083E+02
    0.5346534653E+00    0.6254869960E+02
    0.5445544554E+00    0.6294773561E+02
    0.5544554455E+00    0.6332989229E+02
    0.5643564356E+00    0.6369500138E+02
    0.5742574257E+00    0.6404289298E+02
    0.5841584158E+00    0.6437339543E+02
    0.5940594059E+00    0.6468633537E+02
    0.6039603960E+00    0.6498153769E+02
    0.6138613861E+00    0.6525882553E+02
    0.6237623762E+00    0.6551802025E+02
    0.6336633663E+00    0.6575894141E+02
    0.6435643564E+00    0.6598140676E+02
    0.6534653465E+00    0.6618523225E+02
    0.6633663366E+00    0.6637023193E+02
    0.6732673267E+00    0.6653621804E+02
    0.6831683168E+00    0.6668300090E+02
    0.6930693069E+00    0.6681038896E+02
    0.7029702970E+00    0.6691818871E+02
    0.7128712871E+00    0.6700620475E+02
    0.7227722772E+00    0.6707423970E+02
    0.7326732673E+00    0.6712209419E+02
    0.7425742574E+00    0.6714956689E+02
    0.7524752475E+00    0.6715645443E+02
    0.7623762376E+00    0.6714255142E+02
    0.7722772277E+00    0.6710765041E+02
    0.7821782178E+00    0.6705154188E+02
    0.7920792079E+00    0.6697401421E+02
    0.8019801980E+00    0.6687485369E+02
    0.8118811881E+00    0.6675384446E+02
    0.8217821782E+00    0.6661076849E+02
    0.8316831683E+00    0.6644540561E+02
    0.8415841584E+00    0.6625753343E+02
    0.8514851485E+00    0.6604692735E+02
    0.8613861386E+00    0.6581336053E+02
    0.8712871287E+00    0.6555660387E+02
    0.8811881188E+00    0.6527642598E+02
    0.8910891089E+00    0.6497259320E+02
    0.9009900990E+00    0.6464486949E+02
    0.9108910891E+00    0.6429301651E+02
    0.9207920792E+00    0.6391679351E+02
    0.9306930693E+00    0.6351595737E+02
    0.9405940594E+00    0.6309026255E+02
    0.9504950495E+00    0.6263946105E+02
    0.9603960396E+00    0.6216330243E+02
    0.9702970297E+00    0.6166153373E+02
    0.9801980198E+00    0.6113389952E+02
    0.9900990099E+00    0.6058014179E+02
    0.1000000000E+01    0.6000000000E+02
